Date ,series ,OPEN ,HIGH ,close ,LOW ,PREV. CLOSE ,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
01-Apr-24,EQ,"2,557.40","2,724.00","2,709.90","2,530.00","2,515.90","2,708.00","2,665.24","2,724.00",433.1,"30,93,592","8,24,51,72,202.05","1,73,193"
28-Mar-24,EQ,"2,488.20","2,570.00","2,515.90","2,415.75","2,463.60","2,525.05","2,510.27","2,598.95",406.2,"16,81,440","4,22,08,72,393.45","1,01,884"
27-Mar-24,EQ,"2,332.00","2,475.40","2,463.60","2,317.00","2,310.20","2,465.20","2,422.99","2,598.95",406.2,"23,13,292","5,60,50,77,199.25","1,22,485"
26-Mar-24,EQ,"2,224.00","2,325.00","2,310.20","2,215.00","2,197.80","2,314.90","2,282.26","2,598.95",406.2,"12,31,753","2,81,11,79,485.85","81,433"
22-Mar-24,EQ,"2,249.00","2,274.90","2,197.80","2,190.00","2,243.10","2,197.05","2,224.60","2,598.95",406.2,"6,29,614","1,40,06,41,580.35","53,894"
21-Mar-24,EQ,"2,086.00","2,267.20","2,243.10","2,075.05","2,033.15","2,253.35","2,196.23","2,598.95",406.2,"20,13,072","4,42,11,60,911.75","1,32,888"
20-Mar-24,EQ,"1,970.00","2,040.00","2,033.15","1,970.00","1,956.65","2,034.95","2,011.35","2,598.95",406.2,"9,30,282","1,87,11,23,264.10","75,877"
19-Mar-24,EQ,"2,040.00","2,046.00","1,956.65","1,941.05","2,035.50","1,956.00","1,996.82","2,598.95",406.2,"7,02,083","1,40,19,32,427.35","65,056"
18-Mar-24,EQ,"2,077.00","2,077.00","2,035.50","2,010.00","2,082.40","2,046.00","2,028.77","2,598.95",406.2,"7,24,749","1,47,03,47,928.05","55,504"
15-Mar-24,EQ,"2,054.85","2,094.50","2,082.40","2,026.05","2,048.45","2,059.75","2,062.59","2,598.95",406.2,"4,78,329","98,65,95,275.30","42,798"
14-Mar-24,EQ,"2,012.00","2,097.95","2,048.45","1,973.60","2,011.70","2,058.00","2,050.98","2,598.95",406.2,"8,00,906","1,64,26,38,966.75","62,226"
13-Mar-24,EQ,"2,240.00","2,270.00","2,011.70","1,972.45","2,148.55","2,030.00","2,112.49","2,598.95",406.2,"16,56,939","3,50,02,69,488.05","1,34,380"
12-Mar-24,EQ,"2,204.10","2,204.10","2,148.55","2,060.00","2,204.10","2,185.00","2,127.55","2,598.95",406.2,"11,80,130","2,51,07,84,796.15","1,05,373"
11-Mar-24,EQ,"2,243.85","2,243.85","2,204.10","2,190.35","2,243.85","2,197.00","2,212.06","2,598.95",406.2,"5,61,381","1,24,18,08,813.80","74,969"
07-Mar-24,EQ,"2,284.00","2,299.30","2,243.85","2,240.00","2,299.05","2,243.00","2,266.11","2,598.95",406.2,"5,16,836","1,17,12,06,370.95","40,506"
06-Mar-24,EQ,"2,287.00","2,330.00","2,299.05","2,250.00","2,287.00","2,293.50","2,284.48","2,598.95",406.2,"7,29,870","1,66,73,72,086.25","43,057"
05-Mar-24,EQ,"2,324.30","2,324.30","2,287.00","2,274.00","2,319.55","2,291.00","2,291.69","2,598.95",406.2,"3,18,889","73,07,95,867.55","35,544"
04-Mar-24,EQ,"2,365.40","2,366.00","2,319.55","2,310.00","2,352.45","2,315.05","2,323.86","2,598.95",406.2,"2,54,066","59,04,13,512.70","33,638"
02-Mar-24,EQ,"2,340.60","2,361.00","2,352.45","2,324.60","2,336.45","2,359.00","2,347.87","2,598.95",406.2,"50,156","11,77,60,008.90","3,671"
